#{"t_start": 1789049545.821065, "env_id": "None"}
r,l,t
246.0,71,50.51657
302.2,51,50.595398
-135.8,49,50.673857
312.2,68,50.78386
263.7,79,50.924272
42.5,66,51.03538
-11.3,51,51.118252
29.3,56,51.219899
271.4,81,51.351401
-42.2,62,51.46675
-25.9,46,51.543253
-98.6,28,51.587722
-75.3,33,51.654109
-67.9,46,51.726957
314.5,50,51.807934
317.2,94,51.957847
279.1,58,52.051223
46.9,87,52.198234
-11.8,50,52.284642
-100.0,37,52.343559
301.0,68,52.458259
-69.0,41,52.528662
273.3,55,52.629074
277.2,60,52.725596
-23.9,51,52.806598
-67.1,33,52.86022
-6.0,27,52.903273
-56.4,52,52.98679
-124.7,44,53.062217
271.5,56,53.173275
51.4,87,53.331639
255.9,57,53.421426
44.1,93,53.578894
304.1,72,53.692979
307.2,50,56.058921
255.4,53,56.144453
-26.7,47,56.21989
311.0,57,56.335002
318.2,57,56.423143
51.5,80,56.563475
16.3,57,56.654097
-25.6,74,56.786402
287.2,61,56.882309
34.8,39,56.956047
-76.2,35,57.019701
3.9,48,57.099511
38.1,60,57.194679
-100.0,34,57.255916
-25.1,41,57.338496
283.3,61,57.445332
302.2,54,57.544141
313.2,54,57.629742
71.5,49,57.727669
257.2,74,57.858888
49.5,75,57.991586
-19.1,59,58.089873
16.6,88,58.228492
60.8,86,58.393277
-28.7,84,58.543604
277.2,43,58.614122
26.4,49,58.694119
28.4,52,58.787185
292.1,60,58.894802
16.1,65,59.009561
297.2,57,59.108753
272.5,67,59.215685
249.0,71,59.326383
79.9,75,59.462366
-59.7,41,59.527362
3.6,49,61.814261
302.2,65,61.964194
273.7,84,62.190211
59.2,56,62.293552
53.7,48,62.372222
306.2,55,62.475527
52.0,63,62.609069
292.3,53,62.69353
37.0,65,62.7997
-25.6,40,62.863879
-19.1,82,62.992578
10.8,60,63.091893
282.5,56,63.18917
40.4,54,63.273807
323.5,64,63.374562
50.4,70,63.48297
13.7,57,63.585579
277.2,53,63.669544
-36.7,22,63.70481
5.9,59,63.816493
304.2,56,63.90466
25.8,55,64.003724
284.7,98,64.161102
-78.7,35,64.237236
60.3,57,64.341314
300.9,72,64.477525
48.8,67,64.589812
355.7,50,64.682991
-69.0,40,64.751689
56.2,75,64.869504
304.2,79,65.009883
291.1,72,65.142206
-1.4,72,65.275101
-70.9,38,65.335591
42.4,57,65.43982
55.9,53,67.815164
289.0,59,67.909465
272.2,54,68.003846
339.5,93,68.1535
30.4,49,68.240921
31.0,72,68.356972
55.9,70,68.466832
60.0,69,68.576047
293.7,67,68.680823
307.2,53,68.783752
295.7,66,68.889097
-39.4,57,68.978536
244.9,65,69.083126
281.4,69,69.194165
61.5,64,69.295407
299.2,65,69.418612
-66.4,36,69.475907
36.0,57,69.579787
304.8,68,69.688014
65.4,81,69.824378
-18.0,59,69.931011
-86.5,45,70.002252
23.8,62,70.117473
24.3,53,70.200508
327.2,62,70.313851
51.8,52,70.3971
-92.6,45,70.469351
54.6,90,70.627429
6.6,61,70.724241
80.1,59,70.820332
327.2,52,70.913083
-64.0,37,70.973171
43.9,46,71.050293
-27.2,55,71.135735
7.6,63,73.448644
311.2,50,73.529686
12.8,54,73.62388
297.2,53,73.707685
-20.6,51,73.791135
282.2,61,73.888534
317.6,69,74.011777
-4.1,51,74.096083
-35.2,71,74.217902
278.3,80,74.343087
12.1,77,74.465293
-22.9,54,74.551341
38.8,73,74.668804
-27.7,37,74.732338
23.4,53,74.828158
-46.0,66,74.932433
275.2,58,75.041151
272.2,54,75.126565
54.6,58,75.22143
308.8,62,75.318874
337.2,67,75.43232
307.2,59,75.52531
49.7,79,75.649966
326.2,74,75.765138
282.6,68,75.872212
285.8,58,75.962331
-56.3,33,76.022509
-34.3,48,76.101762
287.2,54,76.183997
297.3,57,76.273152
49.4,60,76.367654
15.7,72,76.480014
-90.6,33,76.534668
16.9,53,76.62642
264.8,60,78.869334
35.7,64,78.974469
45.4,53,79.065715
282.2,49,79.153839
8.6,55,79.241196
-86.3,48,79.318175
70.9,50,79.397592
-11.5,51,79.478272
312.4,66,79.589112
312.2,57,79.680734
302.2,69,79.788604
361.2,74,79.903872
52.2,53,79.98854
65.4,62,80.088891
3.1,74,80.215195
272.2,49,80.292216
310.0,56,80.381351
14.8,63,80.481151
30.5,80,80.606346
49.2,58,80.697809
40.4,36,80.755508
268.1,73,80.877952
315.2,63,80.975014
317.2,66,81.115976
-43.7,48,81.255596
42.9,79,81.466511
288.6,81,81.608438
-9.5,61,81.704214
-33.7,77,81.824309
-26.8,47,81.898079
315.7,83,82.038618
-66.3,111,82.213553
19.0,66,82.324402
327.2,52,84.560947
282.2,54,84.646142
-11.4,38,84.706021
34.2,59,84.801526
21.3,50,84.879664
-103.0,54,84.965535
287.2,53,85.060833
251.8,69,85.17071
40.3,76,85.293014
14.8,57,85.389706
3.4,40,85.453711
35.4,44,85.523383
295.6,69,85.638113
1.2,44,85.708282
249.3,65,85.811468
-23.0,53,85.893961
-30.1,46,85.967002
87.4,75,86.086138
307.2,59,86.181231
65.8,79,86.309346
300.0,69,86.426215
273.8,56,86.513942
40.3,48,86.591767
30.6,64,86.692197
-57.2,21,86.727355
-1.2,39,86.796499
287.7,78,86.919317
293.5,68,87.024976
0.2,64,87.128868
279.2,61,87.224541
39.4,44,87.294732
275.5,65,87.405709
-58.2,61,87.511265
39.9,72,87.624525
15.3,72,87.736499
285.4,77,90.01083
17.0,47,90.088943
65.2,67,90.193797
47.8,56,90.282765
300.7,48,90.358272
48.9,65,90.469151
-73.8,26,90.523062
2.6,42,90.589264
72.6,66,90.69353
80.7,78,90.816319
282.5,63,90.914442
-33.9,66,91.026652
312.2,67,91.135206
14.6,54,91.220898
-24.0,49,91.298722
-113.2,46,91.370593
337.2,74,91.48586
311.0,50,91.572641
56.2,48,91.660552
-85.8,41,91.725513
60.0,70,91.835938
-40.6,68,91.941142
-10.7,48,92.017209
282.2,49,92.096704
282.2,52,92.180947
-75.2,66,92.289864
4.8,63,92.389802
19.7,66,92.494301
-16.1,42,92.561634
-75.7,27,92.605294
12.6,62,92.704146
322.2,72,92.825037
49.4,53,92.908575
42.5,63,93.006967
-57.5,60,93.102401
-13.8,67,93.207236
295.5,60,95.434273
-66.6,45,95.504833
311.2,77,95.623925
46.9,53,95.714945
2.3,55,95.817352
50.1,79,95.942346
-128.4,20,95.97528
-89.4,58,96.068077
346.0,71,96.178565
-16.7,57,96.267942
254.7,68,96.377497
35.1,74,96.497424
36.2,68,96.604717
-75.8,42,96.672357
312.2,59,96.764838
-18.9,68,96.869038
63.0,64,96.971152
2.0,43,97.048835
54.4,50,97.127642
-113.1,41,97.191953
-25.9,81,97.316792
288.6,65,97.417689
-28.4,47,97.491819
293.2,65,97.601284
-87.7,82,97.728105
100.6,63,97.833489
277.2,57,97.923269
-102.5,47,97.99719
303.6,65,98.101665
333.3,90,98.249664
70.4,63,98.347552
-100.3,51,98.42873
-9.0,60,98.522774
-58.6,42,98.590052
91.6,64,100.850395
273.2,61,100.947987
75.4,52,101.030148
-109.6,61,101.130624
-95.4,48,101.215033
307.2,67,101.321269
331.2,60,101.414874
327.2,75,101.532083
-20.5,38,101.594009
278.0,66,101.697948
38.3,55,101.792737
-79.1,51,101.875603
293.3,62,101.980258
297.5,63,102.097074
13.3,62,102.196971
-12.1,77,102.31829
18.3,75,102.446672
43.5,82,102.575763
317.2,67,102.679788
309.8,72,102.794187
-50.8,56,102.883317
44.2,68,103.007611
85.9,67,103.115441
312.2,62,103.212383
-9.0,52,103.295236
282.2,49,103.371182
-61.3,45,103.442435
331.2,66,103.545952
101.2,69,103.660593
-3.9,62,103.758034
280.7,62,103.854886
79.5,68,103.961704
23.6,51,104.057319
302.2,67,106.323914
270.0,67,106.428828
64.7,76,106.548285
-43.7,38,106.617861
287.2,65,106.720344
45.5,70,106.829275
311.1,74,106.944645
51.4,66,107.052011
-20.8,71,107.179327
10.7,50,107.262339
322.2,66,107.365267
-52.8,44,107.435452
325.7,70,107.544844
25.0,67,107.649892
345.4,87,107.793858
73.6,74,107.910745
51.1,66,108.015368
-96.1,57,108.107351
287.2,64,108.221432
301.3,95,108.374268
325.7,68,108.486222
280.2,76,108.607548
-1.2,37,108.66719
55.8,51,108.748554
268.8,67,108.853401
8.9,79,108.983656
47.6,63,109.088517
292.2,45,109.159374
288.5,55,109.246963
286.3,83,109.376152
33.5,64,109.476302
-48.5,43,109.545289
307.2,72,111.808134
41.0,49,111.887497
285.7,54,111.975491
257.0,79,112.109432
53.3,61,112.204343
1.8,52,112.28726
-32.2,76,112.421911
3.9,53,112.504583
46.6,85,112.649454
-28.8,57,112.738522
282.8,51,112.819378
41.2,69,112.928088
326.2,66,113.033098
-129.9,47,113.113036
58.8,50,113.203088
316.2,58,113.295102
316.2,62,113.393219
-11.2,57,113.484075
314.2,76,113.602754
12.4,68,113.710648
-105.1,28,113.755919
-141.1,78,113.888057
292.2,42,113.95364
296.2,83,114.086535
286.0,67,114.189737
12.0,61,114.286132
-60.1,48,114.365432
21.3,50,114.453209
307.2,62,114.549565
-2.6,61,114.645755
55.8,73,114.759272
283.4,65,114.860822
304.2,63,114.959756
66.1,35,115.02452
41.5,64,117.604108
-40.7,49,117.682101
38.5,84,117.813901
53.7,45,117.884551
317.2,59,117.978944
38.4,69,118.094408
302.2,57,118.18361
46.8,83,118.313726
-15.9,38,118.372494
28.6,58,118.467063
69.6,47,118.544841
287.2,66,118.658306
332.2,60,118.75319
18.9,43,118.82218
277.3,68,118.929217
53.7,65,119.030568
-41.8,37,119.092669
3.6,46,119.165364
66.3,79,119.296485
-70.3,62,119.393746
27.6,64,119.493746
57.6,60,119.598743
63.4,51,119.679865
23.6,21,119.7141
311.0,54,119.805496
296.4,64,119.90606
-3.7,71,120.016802
45.4,61,120.113823
307.2,53,120.195166
8.9,50,120.275706
-48.2,48,120.350578
-33.2,39,120.420853
35.6,56,120.508807
56.7,68,120.619355
301.0,46,120.702961
294.0,68,120.809015
282.0,81,123.061206
-40.7,75,123.179275
313.0,91,123.32126
297.2,63,123.42592
-18.2,51,123.507252
65.4,89,123.64798
10.6,53,123.741737
273.5,57,123.831908
-25.0,57,123.921458
-1.4,70,124.038058
41.7,67,124.145899
-40.3,66,124.247944
-113.4,76,124.371224
307.6,56,124.458822
43.2,52,124.540258
-6.4,56,124.635168
0.5,62,124.732923
302.1,67,124.850266
301.0,56,124.938602
88.5,67,125.047256
52.7,64,125.150423
315.0,65,125.260014
-12.2,53,125.342794
-6.4,39,125.405283
276.3,58,125.496894
-101.9,46,125.568542
89.3,81,125.694988
-55.9,57,125.791587
331.3,69,125.900553
-5.9,66,126.003837
277.9,54,126.091053
43.1,61,126.186512
249.0,60,128.404058
14.1,89,128.54315
-5.3,65,128.644115
278.3,80,128.770158
289.2,61,128.873422
-58.2,53,128.967171
-42.3,39,129.029839
-52.6,74,129.148459
-40.0,42,129.214758
2.4,40,129.278428
-7.1,54,129.36344
31.1,68,129.477605
302.2,59,129.569192
-24.1,71,129.682211
282.2,77,129.802607
28.7,50,129.883161
-54.2,59,129.97932
296.0,69,130.097648
48.4,105,130.263749
-47.5,59,130.356167
45.4,80,130.482013
12.8,50,130.561403
-83.8,39,130.631232
287.2,71,130.743048
307.3,69,130.850642
-31.1,59,130.943915
20.6,67,131.058873
-59.9,57,131.149689
-2.2,65,131.259352
-115.7,69,131.366811
-36.8,48,131.441489
-63.8,62,131.538767
64.3,73,131.653444
-52.9,27,133.829599
302.2,71,133.942029
-85.5,56,134.029646
-25.6,43,134.101976
278.4,76,134.230645
81.2,92,134.37547
278.9,73,134.489006
22.5,51,134.569572
282.2,40,134.634446
-53.0,49,134.713368
51.0,71,134.833846
295.2,56,134.921215
24.0,48,134.997461
11.2,59,135.09298
347.2,58,135.189127
-46.4,72,135.302767
284.9,80,135.435628
269.5,70,135.544553
-25.2,65,135.646038
293.3,69,135.753023
41.9,46,135.825879
-7.7,39,135.888725
302.2,58,135.98525
332.2,68,136.095222
2.2,61,136.203961
-66.8,34,136.258721
121.7,82,136.385661
65.3,60,136.478385
-10.3,55,136.56521
325.9,69,136.680929
5.7,66,136.784564
264.7,63,136.883163
-45.7,36,136.940265
296.0,59,137.032514
292.2,79,139.329252
-37.8,68,139.437286
258.6,59,139.530082
-66.4,40,139.600572
15.3,79,139.723644
49.4,55,139.80991
268.6,60,139.904299
307.2,52,139.98608
-35.9,61,140.083838
-82.3,41,140.149631
250.9,81,140.284506
-1.4,29,140.336743
50.4,45,140.415376
84.1,98,140.568091
282.2,55,140.653329
294.7,68,140.760056
312.2,66,140.870616
25.8,62,140.967667
292.2,71,141.080875
318.4,79,141.204877
-72.8,44,141.273831
326.2,67,141.388188
-26.3,62,141.496653
-115.2,34,141.551305
-44.5,59,141.644968
283.0,75,141.762321
25.6,56,141.851716
18.6,44,141.921855
-17.5,71,142.039918
295.2,54,142.126342
90.4,59,142.218709
34.5,78,142.34098
276.6,76,142.459133
-90.9,25,142.500722
295.5,82,144.797218
-50.5,66,144.900231
55.0,70,145.017455
40.4,59,145.117023
31.5,54,145.201698
292.3,86,145.338738
48.5,54,145.423578
-38.4,39,145.485426
297.2,45,145.569424
-38.7,37,145.639171
-26.5,34,145.693395
-76.9,32,145.746253
305.3,96,145.895023
-19.6,65,145.995775
306.2,60,146.093948
0.6,31,146.144491
34.6,47,146.226687
288.7,58,146.316519
357.2,79,146.43853
45.2,79,146.562315
331.2,78,146.684057
322.2,44,146.753727
-22.3,74,146.876911
-78.4,14,146.900154
297.2,60,146.993237
55.0,48,147.072786
47.0,55,147.160153
73.6,62,147.257146
31.2,66,147.361757
35.4,54,147.454487
268.1,62,147.551318
57.9,56,147.645058
-11.3,40,147.709883
300.7,48,147.786026
-53.2,57,147.873712
45.0,57,147.962965
302.9,80,150.250609
337.2,72,150.363642
277.2,70,150.480322
-20.5,59,150.57215
347.2,65,150.673422
-11.5,62,150.770727
284.0,74,150.885927
291.7,71,151.005035
-16.4,59,151.09938
297.2,66,151.202495
284.0,76,151.321752
43.5,49,151.40105
294.9,65,151.50318
-1.4,29,151.551018
4.6,56,151.645877
4.5,60,151.740757
55.4,57,151.83622
292.2,73,151.949496
-46.2,49,152.026436
41.7,63,152.129075
287.2,50,152.215373
-16.4,70,152.326279
304.2,64,152.425755
-100.3,59,152.517904
-8.0,41,152.583147
309.2,62,152.681215
109.8,76,152.814507
328.8,63,152.916064
266.0,91,153.05945
18.4,76,153.177552
314.8,85,153.397062
-11.9,39,153.503055
312.2,65,155.825767
332.2,56,155.915531
244.4,60,156.015711
-83.6,65,156.12099
-12.5,76,156.239357
35.4,41,156.305063
312.2,64,156.412929
27.1,67,156.517327
286.5,67,156.621988
61.2,57,156.711721
-13.7,79,156.834592
-61.5,48,156.911308
-38.2,18,156.942653
38.1,52,157.039836
-78.8,39,157.104425
44.1,59,157.198403
297.2,51,157.277594
-84.4,63,157.376522
285.2,53,157.458551
38.9,67,157.563233
55.8,57,157.661309
-113.9,61,157.756288
-87.7,50,157.834212
282.9,55,157.921865
16.4,66,158.036847
93.3,63,158.140055
-37.7,44,158.21758
-63.9,36,158.274803
297.2,56,158.362768
329.2,61,158.456561
-25.0,75,158.574722
-18.2,46,158.64836
284.4,69,158.756617
25.3,91,158.907693
302.2,64,159.007048
258.9,62,159.106251
22.2,49,161.316688
25.1,73,161.431322
11.4,68,161.53718
13.1,69,161.645108
88.8,71,161.758075
65.4,71,161.877325
46.1,62,161.97496
323.2,51,162.056757
-24.1,58,162.152223
11.4,50,162.240545
306.3,61,162.33627
25.4,50,162.422607
280.2,63,162.521591
72.4,95,162.671669
71.6,74,162.786603
-61.3,34,162.841234
56.8,56,162.929333
33.9,75,163.055818
-87.3,56,163.145934
297.2,67,163.250612
-23.1,48,163.326589
321.2,68,163.432682
-76.5,12,163.453786
15.5,57,163.543391
317.2,61,163.647572
-50.5,38,163.708713
45.4,48,163.784802
-33.5,46,163.855942
75.4,64,163.956969
307.2,66,164.061791
-73.1,66,164.166809
309.2,77,164.300113
31.2,71,164.410441
27.0,102,166.749147
-1.8,40,166.81229
273.5,69,166.919681
312.2,61,167.015743
28.0,49,167.097102
75.0,44,167.169596
322.2,46,167.248831
46.7,78,167.371461
-19.3,54,167.456638
293.3,62,167.552331
-19.8,46,167.625963
-38.7,46,167.697861
-69.8,38,167.757401
367.2,67,167.870153
-132.8,31,167.919262
304.2,55,168.005697
298.9,56,168.097455
-6.5,79,168.221743
-29.7,42,168.288015
261.5,58,168.393029
-50.6,43,168.460814
-37.6,61,168.556804
287.2,48,168.631038
9.0,67,168.736503
25.9,73,168.85036
-85.0,62,168.948335
-1.3,37,169.017395
276.8,77,169.143788
274.6,77,169.263412
-69.5,49,169.341435
-29.9,58,169.445949
296.0,62,169.545158
308.5,59,169.647144
309.0,67,169.753643
3.5,64,169.854534
35.7,85,169.991272
13.4,62,172.213803
-26.3,46,172.286422
-18.2,69,172.396151
-31.6,62,172.493156
11.9,61,172.605521
317.2,65,172.707501
-106.8,31,172.759796
290.2,61,172.856248
56.8,67,172.96073
-36.4,81,173.094332
-51.7,47,173.170716
296.8,55,173.265677
100.8,60,173.362838
-18.6,64,173.463367
-42.8,52,173.555317
287.2,73,173.675966
-75.2,83,173.815376
-16.4,35,173.87016
282.9,71,173.983768
349.2,74,174.102935
17.6,60,174.198724
98.2,56,174.288493
311.9,75,174.415918
333.2,59,174.50897
252.5,54,174.60197
287.2,66,174.71975
307.6,63,174.824273
45.0,67,174.93022
13.6,34,174.994901
-34.4,66,175.104006
29.7,47,175.17798
-52.7,26,175.218318
16.6,70,175.329455
337.2,81,175.456133
40.4,40,177.648225
276.9,69,177.771138
-71.3,28,177.81614
23.0,71,177.926272
75.9,46,178.008655
61.5,63,178.110502
290.7,65,178.211202
35.7,64,178.312523
80.5,73,178.428009
304.1,78,178.552915
-48.2,35,178.617846
-36.7,57,178.707595
327.2,74,178.839809
16.3,40,178.902669
30.9,46,178.977077
-53.6,54,179.063184
282.2,58,179.153971
-1.4,55,179.248295
-52.6,57,179.338619
-61.0,51,179.420108
42.3,64,179.521465
