#{"t_start": 1789049545.821065, "env_id": "None"}
r,l,t
285.7,47,508.216624
277.2,59,508.31245
-11.4,21,508.347088
65.4,61,508.44224
-15.7,67,508.547986
70.4,58,508.645097
250.2,53,508.733119
-12.8,39,508.796577
-48.1,38,508.856623
-43.1,55,508.942809
306.2,63,509.040884
-77.4,51,509.122441
317.2,74,509.241174
-66.5,33,509.29451
74.8,54,509.380131
68.4,48,509.456007
307.2,81,509.582982
273.6,70,509.70023
272.2,43,511.930064
-35.0,67,512.035635
278.0,59,512.129192
10.5,48,512.205662
-30.9,39,512.273502
307.9,58,512.363991
-100.0,39,512.423605
-40.1,54,512.509545
31.1,70,512.619728
-48.2,34,512.675963
296.0,73,512.796453
297.2,60,512.89044
262.3,51,512.971002
297.2,65,513.071809
-35.8,29,513.119647
45.3,47,513.194514
272.1,69,513.306878
-12.1,47,513.380326
302.2,44,513.449531
-59.8,58,513.538853
327.2,67,513.642431
-37.0,71,513.754795
10.8,49,513.844696
287.5,55,513.931389
-26.6,43,514.000271
11.4,54,514.085823
12.4,64,514.187244
327.2,53,514.273747
287.2,75,514.391035
-11.5,56,514.480175
276.0,48,514.554709
292.2,59,514.646408
302.2,67,514.751131
-6.4,30,514.799379
-87.6,58,514.904864
43.3,46,514.979378
-67.8,46,515.052403
115.4,58,515.144611
66.0,60,517.262868
51.8,56,517.354624
31.3,43,517.422157
14.9,47,517.49714
28.8,67,517.601634
287.2,57,517.690869
-5.1,35,517.747444
-30.3,44,517.815555
5.8,61,517.911683
291.4,93,518.066829
288.4,70,518.174633
313.9,72,518.289913
283.1,68,518.395493
297.2,67,518.500099
-38.1,99,518.655209
-63.5,33,518.707694
17.1,45,518.778088
278.9,66,518.880877
286.2,55,518.966028
-15.9,71,519.090014
30.4,41,519.155473
342.2,80,519.284375
-51.8,63,519.380647
-136.0,8,519.394407
285.5,51,519.474699
310.7,85,519.607796
304.4,69,519.715118
-27.1,60,519.810227
11.4,55,519.897192
317.2,70,520.007165
29.9,65,520.110153
-9.4,39,520.174004
22.8,52,520.260048
10.7,60,520.353186
-127.3,49,520.431221
327.2,56,522.55715
3.6,35,522.613077
280.6,86,522.749614
297.2,66,522.851007
39.5,69,522.9605
278.6,62,523.057596
-8.3,61,523.157313
35.8,72,523.281346
75.6,58,523.372822
251.2,84,523.506569
-22.3,70,523.615721
-41.2,65,523.719807
53.9,47,523.794455
78.9,57,523.884951
-86.1,64,523.984363
8.3,78,524.105749
282.2,52,524.18764
-16.4,22,524.222645
281.2,50,524.304872
300.5,60,524.398254
72.4,64,524.499111
276.7,68,524.605186
287.5,58,524.696195
45.5,60,524.792407
42.5,70,524.902765
231.7,67,525.008492
-1.4,60,525.101918
293.1,64,525.206711
281.3,65,525.312537
63.6,71,525.424493
304.2,73,525.538603
322.2,54,525.622869
286.2,62,525.720449
41.2,64,527.884001
32.5,80,528.010202
-49.2,33,528.062851
2.4,52,528.14658
101.5,61,528.245295
267.3,62,528.34362
39.1,50,528.423951
17.8,58,528.517036
-40.3,57,528.607682
292.2,48,528.684748
317.3,80,528.809178
68.4,60,528.904949
-21.4,77,529.026496
337.2,48,529.102976
-63.4,69,529.211884
321.2,55,529.302071
-33.8,26,529.344207
-63.8,65,529.450948
-32.9,36,529.509264
37.7,62,529.608223
-10.1,57,529.697656
308.1,55,529.785894
-28.1,33,529.839427
337.2,78,529.9632
302.2,63,530.060786
292.9,72,530.175454
-85.0,46,530.253405
33.0,52,530.336468
43.5,51,530.429838
-25.6,79,530.552958
8.9,79,530.675979
31.3,68,530.782891
-65.3,48,530.85905
309.7,69,530.966323
297.2,81,533.436161
37.1,36,533.493078
-56.0,35,533.55643
-12.1,92,533.698854
274.7,70,533.808905
297.3,82,533.938071
-67.5,48,534.014255
315.1,69,534.123274
322.1,73,534.238969
-0.6,62,534.336501
13.6,44,534.406923
332.2,70,534.516687
322.2,67,534.630535
69.4,70,534.743287
329.2,63,534.841956
-49.3,57,534.931702
44.9,66,535.036308
286.3,57,535.12729
-11.0,47,535.203922
-27.9,56,535.298032
41.5,63,535.398766
292.7,71,535.51012
39.3,71,535.63288
55.4,54,535.723636
286.2,63,535.822818
-44.1,59,535.915505
320.7,46,535.987953
-2.1,56,536.077155
339.6,77,536.198712
-104.1,55,536.288421
30.1,56,536.378106
19.4,60,536.473059
321.2,63,536.572396
319.4,67,536.679246
31.4,74,538.851245
29.4,78,538.973908
243.6,74,539.087546
299.8,55,539.173858
12.6,58,539.270205
270.6,55,539.357723
-72.5,61,539.454748
-43.4,65,539.55829
296.4,70,539.668865
-58.3,32,539.721038
286.3,71,539.845205
290.5,73,539.958159
297.2,54,540.043005
286.9,72,540.159166
38.7,51,540.245834
35.4,53,540.330616
20.0,97,540.484683
-100.0,47,540.557375
39.5,66,540.662848
296.5,79,540.783849
302.2,51,540.864047
65.4,54,540.950332
13.0,59,541.043679
74.2,54,541.130656
317.2,61,541.227512
90.8,69,541.340103
-35.5,53,541.424182
-44.0,78,541.548351
292.2,63,541.646792
303.7,67,541.753196
304.3,73,541.874611
55.4,58,541.968073
54.5,80,544.135433
40.2,53,544.21905
-5.0,55,544.30807
289.0,80,544.437211
17.5,60,544.531465
-19.9,38,544.593287
321.0,64,544.694302
328.3,74,544.809574
292.3,77,544.930887
301.2,67,545.036826
302.2,74,545.155059
90.4,57,545.250235
302.2,47,545.325879
-91.3,54,545.411175
273.9,47,545.487063
-10.5,46,545.561442
24.2,69,545.671014
-47.3,59,545.763048
272.2,66,545.867383
322.5,69,545.981303
-15.3,66,546.086755
301.3,63,546.185497
18.8,54,546.276427
287.5,70,546.385962
38.3,98,546.543823
335.7,74,546.659571
277.2,50,546.74103
-64.0,39,546.80418
-12.8,63,546.904347
86.3,65,547.016105
292.2,68,547.123038
-80.6,63,547.22231
276.4,51,547.30561
-32.1,42,549.412544
277.3,59,549.509226
-57.9,32,549.56145
-6.4,55,549.647532
301.2,65,549.749669
31.7,73,549.864256
-31.3,56,549.953762
43.1,48,550.030927
18.6,54,550.12275
-74.2,53,550.207666
3.7,46,550.285852
77.4,52,550.369822
23.6,53,550.453799
-53.2,23,550.490073
283.9,53,550.573896
300.7,54,550.660232
-55.2,53,550.744772
280.2,47,550.820029
-26.6,36,550.878794
-34.2,27,550.922238
312.2,54,551.008494
329.7,74,551.12833
-52.0,54,551.221007
29.5,47,551.299937
-40.7,57,551.390299
278.7,92,551.536369
51.9,58,551.627466
283.7,61,551.722872
69.4,74,551.839813
-10.5,35,551.901225
294.2,55,551.987755
322.2,62,552.08415
40.4,48,552.161894
-89.0,58,552.268444
-17.7,48,552.346355
334.8,86,552.482245
44.5,53,552.566074
55.4,52,552.648538
68.5,66,555.434404
-26.5,75,555.570301
-44.9,34,555.629503
352.2,55,555.727303
0.6,69,555.860213
-30.8,40,555.926426
288.9,62,556.027536
71.8,81,556.161738
234.1,72,556.276261
280.5,65,556.39692
352.2,71,556.512966
40.8,45,556.588628
-9.3,44,556.659838
55.4,55,556.751229
46.2,59,556.843769
293.9,60,556.93763
-23.6,69,557.046263
332.2,69,557.154981
272.7,59,557.25016
55.8,61,557.347038
294.2,67,557.451627
317.2,55,557.538056
27.5,56,557.626661
75.7,60,557.727469
-60.8,34,557.783462
6.5,58,557.875086
-4.8,62,557.97066
-57.0,53,558.055397
6.0,36,558.113572
58.7,60,558.207927
7.6,37,558.268234
284.6,80,558.398281
-20.4,35,558.454966
310.7,62,558.552309
-38.3,39,558.612725
277.2,57,560.76595
297.2,45,560.838896
-42.5,46,560.912672
30.4,54,560.997474
297.2,49,561.073066
297.1,68,561.180048
287.2,82,561.311361
-19.0,43,561.379041
7.3,60,561.473585
-27.8,59,561.565497
-62.1,64,561.66624
267.8,82,561.798872
-62.6,59,561.89032
329.2,59,561.983894
-74.9,25,562.024735
4.5,32,562.076204
307.0,61,562.172713
312.8,56,562.261575
312.2,56,562.349592
-18.8,65,562.451633
255.2,64,562.556302
-101.8,52,562.64071
56.4,62,562.738178
83.8,65,562.840049
286.2,70,562.950017
-83.1,72,563.06345
292.2,55,563.150274
332.2,80,563.277142
-23.1,52,563.3592
-84.8,54,563.442455
326.2,63,563.539697
4.8,53,563.635624
28.2,71,563.747862
277.2,45,563.81939
317.2,60,563.918021
-56.0,52,564.000042
302.2,52,566.492703
-58.6,51,566.57383
46.2,63,566.671889
-1.4,35,566.730578
55.4,55,566.82465
277.8,79,566.947217
332.2,63,567.046934
75.4,61,567.143553
292.8,77,567.267622
230.4,85,567.401511
308.0,74,567.518424
307.2,90,567.65998
263.0,70,567.778084
45.8,50,567.859912
295.0,54,567.944771
251.8,72,568.057348
304.2,47,568.131717
48.3,55,568.219494
20.3,55,568.307991
43.4,51,568.388632
274.8,62,568.485828
302.2,70,568.596641
277.1,62,568.694917
326.2,75,568.820538
317.9,82,568.955356
318.5,53,569.037915
292.2,71,569.148756
-52.9,53,569.233749
298.1,74,569.351872
327.2,60,569.445131
296.2,58,569.53514
300.8,61,569.631185
47.5,65,571.763577
-92.1,58,571.859766
-52.7,84,572.001043
292.2,44,572.068128
93.7,48,572.143899
32.9,70,572.254723
336.2,71,572.36539
38.9,50,572.445195
40.4,46,572.517192
-89.9,57,572.60661
-41.7,67,572.710307
312.2,61,572.806108
294.7,60,572.899597
3.6,41,572.972772
-21.8,43,573.044084
252.4,70,573.151954
14.2,43,573.221164
257.9,66,573.328098
37.0,62,573.425492
302.2,59,573.517412
68.2,87,573.654842
299.2,48,573.729663
302.2,66,573.832199
295.5,65,573.932529
244.5,67,574.037816
-77.2,43,574.105128
285.2,69,574.216956
-34.7,65,574.319299
314.2,58,574.410939
-32.1,73,574.525155
278.9,59,574.618574
45.4,49,574.696372
45.7,45,574.767673
311.2,47,574.842264
83.9,66,574.944421
307.0,73,577.098836
282.2,50,577.189106
14.3,48,577.267209
-53.2,25,577.307745
297.2,78,577.429851
34.8,57,577.520694
303.0,68,577.627883
-8.9,41,577.695359
65.4,38,577.756909
-6.5,50,577.837137
36.8,55,577.925267
279.8,50,578.006038
296.2,65,578.108675
326.2,69,578.218281
64.7,57,578.312973
15.3,82,578.445766
-63.3,55,578.53267
336.2,78,578.655758
68.1,64,578.756754
288.9,71,578.869884
38.2,64,578.971634
-57.8,44,579.042854
-59.3,38,579.104819
-30.3,37,579.171005
34.4,92,579.319922
-20.2,31,579.369542
46.9,51,579.449911
37.8,55,579.546903
48.6,69,579.663959
302.2,64,579.774455
11.4,46,579.854062
294.4,59,579.94878
-45.2,71,580.062085
11.9,39,580.125713
293.4,80,580.271572
-65.8,43,580.338688
53.8,58,582.486529
86.6,55,582.573866
287.2,58,582.664585
2.6,70,582.781647
-1.4,44,582.853279
312.6,68,582.95978
42.9,69,583.067596
242.0,81,583.19538
36.8,80,583.331586
77.4,41,583.396854
-1.0,63,583.495126
-88.4,54,583.57843
337.7,95,583.727448
294.7,80,583.851432
-8.2,52,583.9329
-0.8,49,584.011158
3.6,28,584.055892
45.4,52,584.137938
-26.0,52,584.220669
38.9,63,584.325568
299.5,40,584.394073
-25.0,55,584.480894
-0.5,51,584.560173
-26.0,38,584.621502
268.4,78,584.74417
-8.1,45,584.819187
312.2,48,584.895783
286.9,78,585.018348
24.6,51,585.099113
14.8,49,585.179387
19.4,42,585.249115
-121.5,28,585.295814
43.2,60,585.403883
45.9,56,585.494568
273.1,66,585.598077
-46.5,80,587.766611
302.2,55,587.858688
50.9,86,587.999685
331.0,69,588.10765
62.6,62,588.205615
6.5,68,588.314305
273.8,56,588.40197
277.6,65,588.514673
79.5,56,588.603908
239.8,82,588.73351
-4.7,78,588.85541
247.9,59,588.947917
289.2,56,589.037462
306.0,64,589.137316
321.2,49,589.216905
5.0,78,589.340233
340.2,70,589.451411
-81.6,44,589.52902
302.2,58,589.625211
292.2,54,589.709242
-97.6,54,589.794825
38.9,45,589.867838
372.2,60,589.962659
33.2,72,590.075688
60.4,56,590.165207
-63.2,40,590.229065
273.4,62,590.32964
287.2,61,590.424607
319.6,67,590.529996
-69.7,46,590.604154
-1.3,67,590.710031
11.7,56,590.798222
26.7,59,590.8922
-103.5,49,590.970163
0.3,50,593.105108
53.6,58,593.20028
-27.8,76,593.323855
30.8,75,593.442487
-56.9,65,593.54614
-78.0,70,593.659549
-111.7,28,593.714692
281.1,79,593.838681
50.4,42,593.905277
82.6,62,594.003136
51.5,71,594.11684
-65.4,54,594.202116
8.0,52,594.287615
-66.4,26,594.329207
46.0,74,594.445673
-9.0,60,594.54137
-15.6,60,594.636977
-68.0,36,594.694882
-25.3,52,594.784216
65.4,63,594.888696
312.2,50,594.968146
12.9,57,595.060072
292.2,59,595.15349
-61.9,59,595.246924
10.4,71,595.362578
-38.9,78,595.484761
322.2,61,595.579824
-71.1,61,595.679727
3.4,64,595.786815
-38.7,47,595.863882
24.9,85,595.998625
322.3,73,596.11283
-3.1,58,596.205469
271.2,81,596.33837
-60.9,45,598.485838
284.9,71,598.599347
23.5,54,598.689264
-178.4,37,598.751832
9.8,54,598.838899
43.7,58,598.932003
-39.1,55,599.020236
40.4,40,599.084648
280.7,53,599.169387
287.4,61,599.265801
39.6,82,599.394798
327.2,51,599.474186
292.2,58,599.565881
-5.5,61,599.661961
10.9,58,599.753089
314.2,49,599.831674
304.2,53,599.92139
315.2,57,600.010136
-63.7,36,600.06822
276.1,67,600.173721
291.8,58,600.270039
61.1,64,600.44352
-46.4,63,600.608914
23.4,56,600.728915
50.1,56,600.8183
278.5,90,600.972826
64.6,65,601.073433
45.4,45,601.145824
41.3,89,601.289081
5.3,49,601.366419
312.2,65,601.468886
8.3,35,601.524987
41.2,74,601.641353
5.3,63,601.73952
23.6,40,601.805148
325.2,71,603.965898
-13.6,54,604.059718
309.2,48,604.134584
-22.5,44,604.204364
39.4,47,604.280505
-111.1,32,604.330317
40.8,58,604.422296
41.4,92,604.566108
17.7,58,604.657068
307.2,75,604.774157
45.4,57,604.864023
32.6,63,604.963763
17.7,47,605.043962
287.2,65,605.15654
-17.9,56,605.24691
-7.4,39,605.315258
30.0,72,605.429014
274.2,57,605.517383
18.9,75,605.635549
-85.4,44,605.714871
-96.7,28,605.763856
302.2,74,605.879554
-108.3,23,605.917665
36.8,70,606.026542
40.4,56,606.123399
278.2,48,606.203
-48.2,17,606.231332
312.2,58,606.325286
294.0,61,606.421518
21.5,52,606.504325
306.1,74,606.620433
282.2,64,606.724744
44.9,64,606.83031
27.6,54,606.916416
274.2,90,607.059116
-95.3,46,607.131563
-50.7,52,607.215024
63.1,51,609.341939
55.9,55,609.429952
322.2,54,609.514712
-1.4,28,609.559944
-66.6,64,609.660213
40.4,57,609.751078
22.2,53,609.835208
322.2,50,609.914399
307.2,56,610.001423
-58.2,50,610.080381
2.4,46,610.152651
312.2,62,610.257334
6.8,41,610.3303
48.3,68,610.436648
-44.1,50,610.515865
53.3,76,610.634877
6.8,35,610.691796
259.2,58,610.782299
-29.5,23,610.819449
-46.9,27,610.863328
296.2,61,610.957196
295.7,62,611.054289
297.2,47,611.128846
36.5,76,611.247761
292.2,56,611.336518
-18.0,60,611.430238
291.2,76,611.549045
317.2,53,611.633076
65.4,55,611.721358
282.2,50,611.799798
-4.2,53,611.884767
110.3,62,611.983035
327.2,68,612.089713
-43.9,56,612.178467
10.8,69,612.291874
3.1,42,612.363989
-78.4,81,612.489696
-15.1,46,614.609246
-86.6,63,614.711957
4.6,76,614.829869
64.2,51,614.910628
287.2,54,614.995927
-0.8,74,615.112456
272.5,65,615.214829
329.7,85,615.353196
305.5,59,615.445333
37.1,52,615.528811
-43.2,38,615.589556
31.4,62,615.687561
-6.4,47,615.760994
267.2,54,615.846699
326.2,67,615.950946
329.2,75,616.068688
-119.1,47,616.141416
-7.2,61,616.237386
340.0,63,616.338497
-3.8,62,616.436735
28.3,71,616.55501
20.1,59,616.651097
-60.0,53,616.734304
1.1,55,616.821041
260.4,79,616.945202
60.5,58,617.036935
347.2,54,617.122144
-95.2,44,617.192624
27.4,46,617.267832
65.4,51,617.348241
108.4,75,617.468544
-3.3,69,617.58738
-134.4,17,617.61618
-46.8,53,617.700063
252.3,81,617.828325
305.7,83,620.002958
59.9,61,620.100033
-13.7,72,620.21301
-46.6,54,620.30382
-19.2,58,620.394996
297.2,56,620.482946
45.4,42,620.550567
307.2,62,620.654012
64.8,72,620.76652
282.2,60,620.863855
69.0,70,620.973366
327.2,68,621.079413
-29.9,55,621.166821
30.0,56,621.256963
19.5,60,621.355419
-50.6,62,621.452388
315.8,54,621.537062
37.8,51,621.618767
43.7,57,621.716411
-48.8,55,621.804339
290.5,65,621.906629
5.0,62,622.003933
-59.2,63,622.103793
10.9,71,622.213838
64.6,53,622.301062
11.8,74,622.41755
-26.4,35,622.474313
7.6,60,622.569078
17.1,39,622.630898
277.2,43,622.710974
302.4,71,622.822332
-1.4,54,622.909188
26.1,90,623.052661
64.9,52,623.135691
87.3,68,625.290941
43.1,75,625.409468
272.3,54,625.494052
275.1,68,625.601253
-79.0,40,625.666749
18.2,63,625.774151
280.7,59,625.868013
-61.0,51,625.948993
307.2,63,626.047489
38.1,54,626.133637
-45.5,56,626.222138
283.0,70,626.333884
38.6,62,626.430924
-41.8,45,626.503095
-18.9,59,626.596766
19.2,39,626.658927
28.1,48,626.735522
22.9,72,626.860142
290.7,64,626.959758
3.0,81,627.087108
310.8,60,627.180055
-7.7,67,627.288038
83.0,60,627.3835
26.8,73,627.499635
20.6,69,627.607791
-33.1,49,627.686261
302.2,98,627.839347
-15.3,47,627.913495
23.6,53,627.996584
-88.7,30,628.04447
-29.9,39,628.106261
62.5,60,628.200341
297.0,73,628.317499
46.2,64,628.418407
317.4,69,630.59986
317.2,70,630.714592
-53.2,57,630.804792
278.0,59,630.898308
6.0,70,631.027188
-14.6,55,631.112689
43.9,48,631.18925
40.4,59,631.285285
-57.7,37,631.344016
-30.1,68,631.450417
25.3,77,631.569855
342.2,65,631.673172
267.3,53,631.756226
-65.3,51,631.840148
291.2,60,631.953025
285.1,69,632.076468
299.3,59,632.169106
109.1,60,632.26407
314.7,81,632.395025
317.2,58,632.485696
277.2,71,632.596933
289.2,56,632.687609
40.4,31,632.7376
-48.5,59,632.831947
34.8,62,632.930705
48.5,51,633.019138
48.9,45,633.093049
37.7,63,633.194211
50.4,53,633.278595
-48.7,61,633.375885
282.2,46,633.449128
282.2,82,633.578062
9.2,44,633.647142
-19.5,36,633.703635
312.2,64,633.803905
-114.7,35,636.203845
-18.2,43,636.272543
99.4,53,636.361369
302.2,59,636.45297
-14.2,62,636.550523
55.4,50,636.63092
291.0,48,636.706635
92.9,83,636.839302
56.8,47,636.913727
-12.9,53,636.99829
-42.9,49,637.074993
2.9,61,637.171551
289.0,67,637.287378
-49.2,12,637.309236
17.1,55,637.395288
-1.0,38,637.456785
284.0,73,637.570776
-51.3,40,637.634453
361.2,73,637.749161
315.9,67,637.853537
2.3,87,637.989471
-118.0,12,638.009911
41.8,61,638.105306
304.7,89,638.251538
52.8,63,638.354691
298.9,61,638.44977
-28.4,42,638.517114
275.3,58,638.608211
67.0,59,638.701307
-14.1,59,638.796668
-6.4,27,638.840729
41.3,78,638.961296
242.8,59,639.05386
314.2,57,639.143044
78.9,81,639.27037
302.2,66,639.38952
-55.5,61,641.526783
-83.9,41,641.594437
43.1,71,641.707493
26.8,70,641.817332
65.4,63,641.91796
-55.4,47,641.993078
292.2,59,642.0858
-72.7,47,642.161878
71.9,63,642.260427
-37.7,70,642.386624
43.3,51,642.471776
271.9,73,642.587674
-23.2,52,642.670733
322.2,74,642.795256
327.2,60,642.890942
297.2,69,643.000729
26.9,73,643.117024
332.2,77,643.237777
274.1,64,643.342741
25.7,81,643.48526
271.1,60,643.5781
-65.7,33,643.630835
-87.1,52,643.713115
-117.4,34,643.768392
237.5,77,643.88823
287.2,59,643.979418
300.1,79,644.103406
30.3,54,644.188428
-43.3,27,644.231755
-25.9,35,644.289725
322.6,50,644.368729
80.4,56,644.455672
-75.1,55,644.541909
4.7,44,644.612637
292.2,73,644.727189
287.2,57,646.866928
2.0,55,646.956093
302.2,58,647.045534
319.8,67,647.150846
286.0,75,647.267562
31.7,62,647.369464
244.7,49,647.445853
303.8,96,647.611835
38.3,70,647.721881
292.2,62,647.81888
319.2,52,647.90046
313.4,68,648.007735
-39.8,51,648.088648
-46.9,53,648.172141
-162.2,57,648.26132
330.5,78,648.386942
22.5,53,648.470261
-43.7,64,648.57141
-66.5,29,648.618392
53.9,60,648.712253
-1.4,54,648.797567
260.6,74,648.913402
292.2,55,648.999601
5.9,59,649.091413
37.3,63,649.19084
290.4,52,649.271998
49.3,51,649.355222
-17.6,24,649.39388
9.0,45,649.466117
277.3,61,649.562343
55.9,57,649.657706
298.9,61,649.754543
-49.8,59,649.847629
40.9,71,649.960269
331.0,57,650.049727
5.3,36,650.107497
279.9,71,652.267415
-23.1,71,652.382391
-56.2,35,652.438703
35.5,65,652.541564
332.2,82,652.668937
30.4,44,652.738645
347.2,62,652.836388
25.2,74,652.950872
312.2,75,653.068705
3.0,53,653.152853
14.1,46,653.226167
64.4,63,653.326954
37.8,44,653.395899
311.0,61,653.491778
-20.2,48,653.569122
-59.2,58,653.66169
327.2,55,653.749157
303.7,58,653.846507
297.2,43,653.914726
-41.9,57,654.003198
21.8,55,654.089033
271.2,60,654.18489
301.2,67,654.291503
-102.5,58,654.384102
43.6,47,654.458028
270.2,57,654.548419
10.6,57,654.638691
46.7,46,654.71258
11.9,58,654.805627
252.6,74,654.932178
7.2,51,655.015466
63.4,52,655.099495
320.9,67,655.207702
70.4,52,655.29467
295.2,62,655.391828
317.5,60,657.529286
-29.4,53,657.634887
105.4,55,657.74588
27.7,55,657.847783
-17.3,47,657.937951
332.2,70,658.052006
317.2,61,658.15018
306.2,60,658.245034
333.2,81,658.37641
-60.3,59,658.469977
49.5,56,658.560304
332.2,52,658.64306
66.1,48,658.721265
260.7,67,658.827656
-5.6,50,658.908269
-24.7,41,658.983285
21.2,73,659.097083
34.0,75,659.21356
-9.6,56,659.30419
-12.0,65,659.40667
318.8,71,659.516749
49.8,71,659.627608
-17.5,62,659.726367
82.5,44,659.796556
234.4,53,659.880529
110.9,58,659.971791
50.0,57,660.073763
-117.0,33,660.127315
9.6,58,660.221782
71.5,87,660.362629
368.0,78,660.483767
-103.0,55,660.571383
50.3,56,660.660405
44.5,93,660.809342
325.0,55,662.904588
299.5,69,663.016539
75.4,74,663.14067
342.2,70,663.250664
-49.7,52,663.337911
-50.6,52,663.420585
321.2,56,663.510889
262.6,53,663.594311
-48.5,55,663.682098
26.9,54,663.768259
287.2,48,663.842898
54.9,95,663.989376
-44.1,97,664.148038
58.8,61,664.25111
4.0,60,664.350181
287.2,80,664.475275
-65.6,46,664.547923
-13.1,47,664.622852
307.2,60,664.71571
31.9,78,664.836988
320.8,82,664.966196
6.8,63,665.064517
12.8,80,665.189776
316.0,59,665.282417
45.4,44,665.354454
38.1,50,665.433541
317.9,91,665.576599
-63.5,62,665.673718
-24.8,82,665.801977
305.2,52,665.883463
9.7,65,665.985239
15.6,63,666.084833
-33.1,58,668.209913
-73.0,39,668.272767
277.2,52,668.371577
-14.6,33,668.42504
287.2,47,668.498171
307.1,76,668.617629
50.4,54,668.702949
-1.4,38,668.764742
16.7,74,668.883332
15.9,59,668.976374
335.7,64,669.076216
296.0,50,669.155444
254.2,75,669.271798
2.5,60,669.370091
-48.2,53,669.452841
267.3,52,669.534919
8.5,48,669.612227
19.9,74,669.729217
-81.3,67,669.83509
-3.2,53,669.919361
51.1,52,670.001869
307.2,65,670.103001
-99.4,49,670.181257
54.1,71,670.294136
-6.4,34,670.355584
268.0,79,670.480247
268.9,77,670.599079
282.3,53,670.683033
-35.5,40,670.746517
-53.2,63,670.844148
271.4,63,670.940571
-67.7,48,671.016557
281.6,60,671.110788
32.0,60,671.205817
13.9,58,671.296645
39.8,48,671.427698
11.4,45,673.773847
-12.5,49,673.852062
9.6,63,673.951605
300.8,60,674.046024
-14.0,49,674.125729
-10.1,58,674.218162
67.1,56,674.307431
43.4,41,674.378374
303.3,62,674.47649
34.8,59,674.575811
17.5,91,674.721221
-126.9,38,674.781654
287.2,40,674.844471
335.1,78,674.969135
288.2,74,675.087538
-58.2,48,675.165768
-3.7,72,675.281447
-9.4,69,675.394316
-6.4,31,675.445126
334.4,82,675.586403
-60.0,64,675.685778
322.2,73,675.800162
53.9,79,675.923793
270.3,76,676.042987
18.3,46,676.116452
287.3,79,676.240285
25.2,61,676.337086
292.2,67,676.442319
317.2,53,676.526126
283.0,62,676.633465
287.2,69,676.745046
14.0,29,676.792195
32.3,56,676.879856
52.2,67,676.985767
289.2,66,679.137881
297.3,63,679.239693
299.3,66,679.345553
-91.6,40,679.41181
295.7,50,679.491953
12.4,50,679.570669
-105.1,51,679.650658
-29.5,51,679.742023
-93.2,21,679.776608
7.7,60,679.871053
292.5,69,679.978498
48.6,60,680.073921
29.4,60,680.170474
28.7,48,680.246513
286.6,67,680.355556
-35.0,81,680.483419
17.0,40,680.546893
40.6,76,680.666199
80.1,73,680.792446
46.5,74,680.909048
-115.9,41,680.975407
292.3,71,681.08582
292.2,59,681.178286
-1.1,70,681.289494
3.6,39,681.354535
-21.6,56,681.443343
307.2,70,681.552813
274.8,71,681.664618
-20.7,59,681.757776
278.9,69,681.867324
-35.4,61,681.962148
31.8,56,682.050864
307.2,54,682.135371
287.6,58,682.226921
90.4,43,682.29585
40.6,42,684.41413
70.8,40,684.478123
-26.0,35,684.535261
307.2,57,684.625826
26.3,45,684.696893
322.2,58,684.788336
312.2,66,684.894114
34.3,62,685.004124
-45.0,36,685.062623
54.2,51,685.145551
-0.7,57,685.234207
12.2,48,685.31181
281.1,60,685.409167
297.2,62,685.506588
77.1,70,685.617864
287.2,52,685.699783
300.2,57,685.790838
46.9,62,685.88969
298.9,60,685.983799
306.2,60,686.077555
312.2,71,686.18791
282.2,56,686.275292
-14.7,61,686.374078
63.8,66,686.477036
0.9,82,686.604103
278.8,66,686.707836
-34.4,49,686.786692
-43.7,74,686.903052
27.9,48,686.984921
301.3,77,687.104855
273.4,67,687.211082
297.2,61,687.307077
55.9,59,687.403324
238.7,65,687.505367
-39.3,47,687.579095
31.4,48,689.714167
18.6,25,689.757523
304.7,62,689.856663
30.0,40,689.921971
8.5,77,690.043509
287.2,50,690.12179
-10.8,47,690.198132
-14.8,46,690.273085
10.1,45,690.349292
312.2,59,690.441629
294.1,61,690.538559
307.2,63,690.638372
16.3,46,690.712213
297.2,50,690.79407
259.1,73,690.906966
14.5,61,691.003678
309.0,60,691.098675
-24.7,77,691.228016
-65.6,30,691.275774
-123.9,31,691.328662
-88.2,65,691.43115
-32.5,96,691.583788
307.2,59,691.676148
-84.5,60,691.771847
-5.6,72,691.885683
-28.5,40,691.950296
266.0,89,692.090816
-7.4,32,692.151364
-3.3,65,692.255076
-39.3,35,692.309491
-33.5,56,692.400166
55.4,70,692.508584
-2.6,69,692.618174
275.1,90,692.760631
292.2,50,692.840209
-18.3,61,692.93541
-14.4,56,695.08554
287.2,55,695.174303
-28.6,45,695.248787
1.3,70,695.367359
287.2,55,695.452204
-10.0,59,695.545108
-20.9,60,695.639815
-63.0,38,695.700173
60.4,53,695.784145
302.2,59,695.875715
65.4,48,695.951886
-48.2,47,696.02596
242.3,62,696.122946
-6.6,35,696.178799
277.2,42,696.244202
332.9,73,696.371809
4.2,44,696.443293
23.8,71,696.554775
-91.6,51,696.635742
283.7,81,696.763647
11.8,56,696.851004
-136.0,19,696.88188
347.2,51,696.963388
327.2,76,697.081845
69.4,56,697.170394
-59.0,56,697.258346
278.9,55,697.360187
269.3,71,697.471416
275.5,72,697.584424
45.1,72,697.696778
36.5,71,697.809206
58.0,65,697.911328
43.9,61,698.007271
-117.3,46,698.079386
